site_id;lon;lat;eid;sid;gmv_PGA;gmv_PGV;log_PGA;log_PGV;I_PGA;I_PGV
64.0;-2.27191;38.56753;0;64;0.008660076;1.665724;-2.062478296639028;0.2216030431650554;-1.126901754564479;4.776127235589273
65.0;-2.2144;38.56753;0;65;0.0129333;0.9380647;-1.8882906484425726;-0.027767206520783322;-0.840014697984917;4.379877908838476
66.0;-2.15689;38.56753;0;66;0.00665318;1.552294;-2.1769707266743086;0.19097397883296888;-1.3154707868325861;4.727457652365588
67.0;-2.09938;38.56753;0;67;0.01127614;2.668875;-1.9478395407420792;0.4263282335546443;-0.9380917236022044;5.156722711824455
68.0;-2.04187;38.56753;0;68;0.01398175;3.0547;-1.854438467518922;0.4849685649084826;-0.7842601560036648;5.313351036870557
69.0;-1.98436;38.56753;0;69;0.0107907;1.016217;-1.966950381426767;0.006986455821706401;-0.9695672782098854;4.435101478300692
70.0;-1.92685;38.56753;0;70;0.01000868;4.095114;-1.9996231958990403;0.6122659961774642;-1.0233794036457193;5.653362475790007
71.0;-1.86934;38.56753;0;71;0.003081449;1.46402;-2.5112450157320616;0.16554700966657307;-1.8660205409107058;4.687054198360185
72.0;-1.81183;38.56753;0;72;0.009114445;1.816933;-2.0402697714166687;0.2593389128519115;-1.0903243135232534;4.8360895325216875
73.0;-1.75432;38.56753;0;73;0.003017223;0.7409434;-2.5203925903585156;-0.13021496611853234;-1.881086596320475;4.217088418837653
74.0;-1.69681;38.56753;0;74;0.005323211;0.7050533;-2.2738263190386796;-0.15177805035483358;-1.4749919474567053;4.1828246779861695
75.0;-1.6393;38.56753;0;75;0.005635503;1.35367;-2.2490673146888307;0.13151280419649414;-1.4342138672925042;4.6329738458682295
76.0;-5.32001;38.52256;0;76;0.005005646;1.178035;-2.300539867009604;0.07115819374570087;-1.5189891609648174;4.537070369861919
77.0;-5.26254;38.52256;0;77;0.005336261;0.9699681;-2.2727629369461364;-0.013242548436624296;-1.473240557150287;4.402957590534204
78.0;-5.20506;38.52256;0;78;0.003601869;0.66451;-2.443472086522512;-0.1774984791123085;-1.7543985265025772;4.141954916690542
79.0;-5.14759;38.52256;0;79;0.003513301;1.080142;-2.454284640689301;0.0334808534152517;-1.7722068032152793;4.4772010760768355
80.0;-5.09012;38.52256;0;80;0.001832796;1.510151;-2.7368858716470217;0.17902037457003211;-2.237651030602645;4.708463375191782
81.0;-5.03264;38.52256;0;81;0.003624688;1.372638;-2.440729369978465;0.1375560176945868;-1.7498812723545316;4.642576512116698
82.0;-4.97517;38.52256;0;82;0.006144372;0.7755744;-2.2115224985988484;-0.11037653445953133;-1.3723775551923034;4.248611686743805
83.0;-4.91769;38.52256;0;83;0.003714922;0.9715512;-2.430050300429708;-0.012534307476389799;-1.7322928448077284;4.404082985420017
84.0;-4.86022;38.52256;0;84;0.001676001;0.3969483;-2.7757257265802338;-0.4012660536571192;-2.301620271677645;3.786388240738838
85.0;-4.80274;38.52256;0;85;0.00496187;0.6539003;-2.3043546183431807;-0.18448846338916322;-1.5252720564112185;4.13084783167462
86.0;-4.74527;38.52256;0;86;0.003682472;1.298115;-2.433860546669099;0.11331316831418874;-1.7385683203640059;4.604054624451246
87.0;-4.68779;38.52256;0;87;0.005698609;1.732274;-2.2442311403533965;0.23861658703264338;-1.426248688162044;4.803161756794871
88.0;-4.63032;38.52256;0;88;0.008762566;1.092569;-2.057368697889438;0.03844887390148582;-1.1184862454239046;4.485095260629461
89.0;-4.57284;38.52256;0;89;0.002201884;1.252481;-2.6572055643319747;0.09777114638938811;-2.106417564454762;4.579358351612738
90.0;-4.51537;38.52256;0;90;0.003930836;1.66017;-2.4055150751778247;0.22015256170374584;-1.6918833288178772;4.773822420547252
91.0;-4.45789;38.52256;0;91;0.003984737;1.196715;-2.3996003375597144;0.07799073464644986;-1.6821417559608496;4.547927277353209
92.0;-4.40042;38.52256;0;92;0.005923156;1.137541;-2.227446829059716;0.05596705873826213;-1.3986049274613523;4.512931656335099
93.0;-4.34294;38.52256;0;93;0.01045527;1.009601;-1.9806647473517107;0.004149772064744918;-0.9921548388882675;4.43059398781088
94.0;-4.28547;38.52256;0;94;0.00419732;0.6170145;-2.3770279192954344;-0.20970462981441912;-1.6449649830795807;4.090779343224888
95.0;-4.22799;38.52256;0;95;0.003030532;0.7070497;-2.518481125826534;-0.15055005766402665;-1.877938414236302;4.184775958371862
96.0;-4.17052;38.52256;0;96;0.003993412;1.526956;-2.3986558813668535;0.1838265228242547;-1.6805862366112079;4.716100344767741
97.0;-4.11305;38.52256;0;97;0.002265986;0.4529263;-2.64474277767718;-0.3439724604756882;-2.0858913548343154;3.8774277603041316
98.0;-4.05557;38.52256;0;98;0.003731356;1.843456;-2.4281333139557164;0.2656327762327509;-1.729135568085065;4.8460904814338415
99.0;-3.9981;38.52256;0;99;0.008533517;3.704381;-2.068871941998269;0.5687156480120877;-1.1374320884711486;5.537039495840286
100.0;-3.94062;38.52256;0;100;0.005291562;0.7923616;-2.2764161109802785;-0.10107657971628047;-1.4792573347845188;4.263389314830831
101.0;-3.88315;38.52256;0;101;0.007052698;1.868932;-2.151644712460743;0.2715935001150463;-1.2737588414228438;4.855562071682809
102.0;-3.82567;38.52256;0;102;0.007244739;1.29389;-2.1399772558658983;0.11189735637623974;-1.2545425404111343;4.601804899281845
103.0;-3.7682;38.52256;0;103;0.002263663;0.8552749;-2.6451882277197365;-0.06789427314970205;-2.0866250110544065;4.316115999965124
104.0;-3.71072;38.52256;0;104;0.01578273;1.28722;-1.8018178730284553;0.10965277893292454;-0.6975940368778657;4.598238265724418
105.0;-3.65325;38.52256;0;105;0.01543943;1.782347;-1.8113687371883767;0.2509922594733453;-0.7133243101492566;4.822826700303146
106.0;-3.59577;38.52256;0;106;0.00770972;1.789375;-2.1129613942788836;0.25270136536567384;-1.2100474163773214;4.825542469566056
107.0;-3.5383;38.52256;0;107;0.001722993;1.451117;-2.7637164869556563;0.16170242994696118;-2.2818410540159664;4.680945161185722
108.0;-3.48082;38.52256;0;108;0.0117933;2.331961;-1.928364653661774;0.36772128295386086;-0.906016584580942;5.000183546769762
109.0;-3.42335;38.52256;0;109;0.004982986;1.251915;-2.302510333003795;0.09757484302447107;-1.5222345184572506;4.579046425565885
110.0;-3.36587;38.52256;0;110;0.01142128;0.9682794;-1.9422852213278616;-0.013999307598865113;-0.9289437595269883;4.401755100225404
111.0;-3.3084;38.52256;0;111;0.01308158;3.105476;-1.8833397985315656;0.49212817724351066;-0.8318606481814887;5.332474361417416
112.0;-3.25092;38.52256;0;112;0.01619776;1.558248;-1.7905450402044265;0.19263657815057805;-0.6790276812166907;4.730099522681269
113.0;-3.19345;38.52256;0;113;0.005577364;4.192543;-2.253571010872838;0.6224775255576593;-1.4416314549075646;5.680637470764507
